"SIRUTA,N,6,0","NIV,N,1,0","SIRSUP,N,6,0","TIP,N,2,0","DENLOC,C,40","ULT,C,1","MED,C,1","JUD,N,2,0","PREFIX,N,6,0","REGIUNE,N,1,0","CODP,N,6,0","FSJ,N,2,0","FS2,C,5","FS3,C,7","FSL,N,6,0","FICTIV,N,1,0"
1017,2,10,1,MUNICIPIUL ALBA IULIA,0,1,1,0,7,0,1,11672,,2,
1026,3,1017,9,ALBA IULIA,1,1,1,0,7,0,1,11672,1000084,3,
1035,3,1017,10,BARABANT,1,1,1,0,7,510001,1,11672,2000704,4,
1044,3,1017,10,MICESTI,1,1,1,0,7,510002,1,11672,2007418,5,
1053,3,1017,10,OARDA,1,1,1,0,7,510003,1,11672,2008121,6,
1062,3,1017,10,PACLISA,1,1,1,0,7,510004,1,11672,2008424,7,
1213,2,10,4,MUNICIPIUL AIUD,0,1,1,0,7,0,1,21671,,8,
1222,3,1213,9,AIUD,1,1,1,0,7,515200,1,21671,1000079,9,
1231,3,1213,10,AIUDUL DE SUS,1,1,1,0,7,515201,1,21671,2000080,10,
1277,3,1213,11,CIUMBRUD,1,1,1,0,7,515202,1,21671,3002908,14,
1240,3,1213,10,GAMBAS,1,1,1,0,7,515203,1,21671,2005032,11,
1286,3,1213,11,GARBOVA DE JOS,1,1,1,0,7,515204,1,21671,3005067,15,
1295,3,1213,11,GARBOVA DE SUS,1,1,1,0,7,515205,1,21671,3005068,16,
1302,3,1213,11,GARBOVITA,1,1,1,0,7,515206,1,21671,3005074,17,
1259,3,1213,10,MAGINA,1,1,1,0,7,515207,1,21671,2006980,12,
1268,3,1213,10,PAGIDA,1,1,1,0,7,515208,1,21671,2008482,13,
1311,3,1213,11,SANCRAI,1,1,1,0,7,515209,1,21671,3010409,18,
1320,3,1213,11,TIFRA,1,1,1,0,7,515210,1,21671,3012087,19,
1348,2,10,4,MUNICIPIUL BLAJ,0,1,1,0,7,0,1,21680,,20,
1357,3,1348,9,BLAJ,1,1,1,0,7,515400,1,21680,1001134,21,
1366,3,1348,10,DELENI-OBIRSIE,1,1,1,0,7,515401,1,21680,2004015,22,
1375,3,1348,10,FLITESTI,1,1,1,0,7,515402,1,21680,2004781,23,
1384,3,1348,10,IZVOARELE,1,1,1,0,7,515403,1,21680,2006285,24,
1428,3,1348,11,MANARADE,1,1,1,0,7,515404,1,21680,3007105,28,
1393,3,1348,10,PETRISAT,1,1,1,0,7,515405,1,21680,2008811,25,
1437,3,1348,11,SPATAC,1,1,1,0,7,515406,1,21680,3011351,29,
1400,3,1348,10,TIUR,1,1,1,0,7,515407,1,21680,2012166,26,
1419,3,1348,10,VEZA,1,1,1,0,7,515408,1,21680,2013335,27,
